Fact Table,Dimension Table,Join Key (Fact → Dimension)
fctBudgetPeriodsExt,dimAccount,FK Account (CD) → PK Account (CD)
fctBudgetPeriodsExt,dimBranch,FK Branch (ID) → PK Branch (ID)
fctBudgetPeriodsExt,dimCompany,FK Company (ID) → PK Company (ID)
fctBudgetPeriodsExt,dimDate,Date → Date
fctBudgetPeriodsExt,dimSegment 1,FKSegment1ID → PK Segment 1 (CD)
fctBudgetPeriodsExt,dimSegment 2,FKSegment2ID → PK Segment 2 (CD)
fctBudgetPeriodsExt,dimSegment 3,FKSegment3ID → PK Segment 3 (CD)
fctBudgetPeriodsExt,dimSegment 4,FKSegment4ID → PK Segment 4 (CD)
fctBudgetPeriodsExt,dimSegment 5,FKSegment5ID → PK Segment 5 (CD)
fctBudgetPeriodsExt,dimSegment 6,FKSegment6ID → PK Segment 6 (CD)
fctBudgetPeriodsExt,dimSegment 7,FKSegment7ID → PK Segment 7 (CD)
fctBudgetPeriodsExt,dimSegment 8,FKSegment8ID → PK Segment 8 (CD)
fctBudgetPeriodsExt,dimSegment 9,FKSegment9ID → PK Segment 9 (CD)
fctBudgetPeriodsExt,dimSegment 10,FKSegment10ID → PK Segment 10 (CD)
fctCustomerInvoiceLineExt,dimCustomerInvoice,FK CustomerInvoice → PK CustomerInvoice
fctCustomerInvoiceLineExt,dimCustomer,FK Customer (CD) → PK Customer (CD)
fctCustomerInvoiceLineExt,dimAccount,FK Account (CD) → PK Account (CD)
fctCustomerInvoiceLineExt,dimBranch,FK Branch (ID) → PK Branch (ID)
fctCustomerInvoiceLineExt,dimCompany,FK Company (ID) → PK Company (ID)
fctCustomerInvoiceLineExt,dimSegment 1,FKSegment1ID → PK Segment 1 (CD)
fctCustomerInvoiceLineExt,dimSegment 2,FKSegment2ID → PK Segment 2 (CD)
fctCustomerInvoiceLineExt,dimSegment 3,FKSegment3ID → PK Segment 3 (CD)
fctCustomerInvoiceLineExt,dimSegment 4,FKSegment4ID → PK Segment 4 (CD)
fctCustomerInvoiceLineExt,dimSegment 5,FKSegment5ID → PK Segment 5 (CD)
fctCustomerInvoiceLineExt,dimSegment 6,FKSegment6ID → PK Segment 6 (CD)
fctCustomerInvoiceLineExt,dimSegment 7,FKSegment7ID → PK Segment 7 (CD)
fctCustomerInvoiceLineExt,dimSegment 8,FKSegment8ID → PK Segment 8 (CD)
fctCustomerInvoiceLineExt,dimSegment 9,FKSegment9ID → PK Segment 9 (CD)
fctCustomerInvoiceLineExt,dimSegment 10,FKSegment10ID → PK Segment 10 (CD)
fctSupplierInvoiceLineExt,dimSupplierInvoice,FK SupplierInvoice → PK SupplierInvoice
fctSupplierInvoiceLineExt,dimSupplier,FK Supplier (CD) → PK Supplier (CD)
fctSupplierInvoiceLineExt,dimAccount,FK Account (CD) → PK Account (CD)
fctSupplierInvoiceLineExt,dimBranch,FK Branch (ID) → PK Branch (ID)
fctSupplierInvoiceLineExt,dimCompany,FK Company (ID) → PK Company (ID)
fctSupplierInvoiceLineExt,dimSegment 1,FKSegment1ID → PK Segment 1 (CD)
fctSupplierInvoiceLineExt,dimSegment 2,FKSegment2ID → PK Segment 2 (CD)
fctSupplierInvoiceLineExt,dimSegment 3,FKSegment3ID → PK Segment 3 (CD)
fctSupplierInvoiceLineExt,dimSegment 4,FKSegment4ID → PK Segment 4 (CD)
fctSupplierInvoiceLineExt,dimSegment 5,FKSegment5ID → PK Segment 5 (CD)
fctSupplierInvoiceLineExt,dimSegment 6,FKSegment6ID → PK Segment 6 (CD)
fctSupplierInvoiceLineExt,dimSegment 7,FKSegment7ID → PK Segment 7 (CD)
fctSupplierInvoiceLineExt,dimSegment 8,FKSegment8ID → PK Segment 8 (CD)
fctSupplierInvoiceLineExt,dimSegment 9,FKSegment9ID → PK Segment 9 (CD)
fctSupplierInvoiceLineExt,dimSegment 10,FKSegment10ID → PK Segment 10 (CD)
