Relationship Name,From Table,From Column,To Table,To Column,Is Active,Type,Cross Filtering
016b91e0-b50d-0933-b6c4-c2ad6df7c5b8,dimSalesOrder,Date,dimDate,Date,TRUE,1,1
04f0236c-023f-4906-8d12-b31f931ad062,fctSupplierInvoiceLineExt,FK SupplierInvoice,dimSupplierInvoice,PK SupplierInvoice,TRUE,1,1
05a0012e-934f-ba24-e106-bf772bb7d66f,fctSalesOrderLineExt,FK InventoryNumber,dimInventory,PK InventoryNumber,TRUE,1,1
05da8e38-b486-d2a6-c1e9-44655305db38,dimShipment,Shipment,dimDate,Date,FALSE,1,1
0a0cd145-e9d6-42fc-a688-cc851abf4682,dimSupplierInvoice,Date,dimDate,Date,TRUE,1,1
0f3e6b1e-8878-4bdf-89a4-89c1c17eb767,fctCustomerInvoiceLineExt,FKSegment1ID,dimSegment 1,PK Segment 1 (CD),TRUE,1,1
0f9b54bd-be3d-90f5-6b4a-ebf128ffac57,dimSalesPerson_Customers,FK SalespersonID,dimSalesPerson,PK salespersonID,TRUE,1,1
0f9dfcb9-266e-4b72-a422-f1ed1d3c4357,dimSupplierInvoice_Attachment,PK SupplierInvoiceAttachment,dimSupplierInvoice,PK SupplierInvoice,TRUE,1,2
126d1132-d652-cb8c-da54-d6e52a26f3d4,fctShipmentDetailLines,FK ShipmentNumber,dimShipment,PK shipmentNumber,TRUE,1,1
134fcef5-eb36-4b4b-ae7b-e05bb56d05f2,fctCustomerInvoiceLineExt,FKSegment8ID,dimSegment 8,PK Segment 8 (CD),TRUE,1,1
144472be-8741-361c-7cbc-b35dd27c4f30,dimCustomerCreditNote,FK SalespersonID,SalesPersonCustomerInvoice,PK SalespersonID_CustomerInvoice,FALSE,1,1
1860abc1-c18e-2abb-d4fd-cab641272ffa,dimSupplier,FK Address,dimAddress,PK Address (ID),FALSE,1,1
1a1c64d0-9dfe-1922-6674-bd4baf05359d,fctSalesOrderLineExt,FKSegment3ID,dimSegment 3,PK Segment 3 (CD),TRUE,1,1
1b153c5e-7630-9de2-07ca-138c369e4370,dimPurchaseOrder,Date,dimDate,Date,TRUE,1,1
1b7c9886-5911-aef9-f410-c208685be9a4,dimCustomerCreditNote,FK Customer,dimCustomer,PK Customer (CD),TRUE,1,1
1ba4d804-d7e8-c81c-5761-3989ce06f1b5,dimCustomer,FK Delivery Address,dimAddress,PK Address (ID),FALSE,1,1
23842680-2c0a-b513-a2cc-52bb213643c3,dimCustomer,FK BranchID,dimBranch,PK Branch (ID),TRUE,1,1
25a323d5-666e-6f09-cbbe-49b0df791275,fctShipmentDetailLines,FK OrderLineNumber,fctSalesOrderLineExt,PK SalesOrderLine,TRUE,1,1
